,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,s16,TV Show,Dear White People,,Logan Browning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pedro de Echave García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,s18,TV Show,Falsa identidad,,Luis Ernesto Franco,,,,,,,, Spanish-Language TV Shows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,s19,Movie,Intrusion,Adam Salky,Freida Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,s20,TV Show,Jaguar,,Blanca Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,,22-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,s22,TV Show,Resurrection: Ertugrul,,Engin Altan Düzyatan,,,,,,,, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Kamal Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,Alex Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,s25,Movie,Jeans,S. Shankar,Prashanth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,s26,TV Show,Love on the Spectrum,,Brooke Satchwell,Australia,21-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,s27,Movie,Minsara Kanavu,Rajiv Menon,Arvind Swamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,s28,Movie,Grown Ups,Dennis Dugan,Adam Sandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,s29,Movie,Dark Skies,Scott Stewart,Keri Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,s30,Movie,Paranoia,Robert Luketic,Liam Hemsworth,,,,,,,, a low-level employee finds himself forced to spy on the boss's rival and former mentor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,s31,Movie,Ankahi Kahaniya,Ashwiny Iyer Tiwari,,,,,,,,, loss and longing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,s32,TV Show,Chicago Party Aunt,,Lauren Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,s33,TV Show,Sex Education,,Asa Butterfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,s34,TV Show,Squid Game,,Lee Jung-jae,,,,,,,, a tempting prize awaits — with deadly high stakes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,s35,TV Show,Tayo and Little Wizards,,Dami Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Adrian Titieni,,,,,,,, a retired intelligence officer will stop at nothing — and risk everything — to find him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,s37,Movie,The Stronghold,Cédric Jimenez,Gilles Lellouche,,,,,,,, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,s38,TV Show,Angry Birds,,Antti Pääkkönen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,s39,Movie,Birth of the Dragon,George Nolfi,Billy Magnussen,,,,,,,, leading to a showdown with a Shaolin master in this film based on real events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,s40,TV Show,Chhota Bheem,,Vatsal Dubey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,s41,TV Show,He-Man and the Masters of the Universe,,Yuri Lowenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,s42,Movie,Jaws,Steven Spielberg,Roy Scheider,,,,,,,, a police chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,s43,Movie,Jaws 2,Jeannot Szwarc,Roy Scheider,,,,,,,, police chief Martin Brody fights to protect Amity Island from another killer great white.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,s44,Movie,Jaws 3,Joe Alves,Dennis Quaid,,,,,,,, they discover its mother has invaded the enclosure and is out for blood.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,s45,Movie,Jaws: The Revenge,Joseph Sargent,Lorraine Gary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,s46,Movie,My Heroes Were Cowboys,Tyler Greco,,,16-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,s47,Movie,Safe House,Daniel Espinosa,Denzel Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,Osas Ighodaro,,,,,,,, finances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,s49,Movie,Training Day,Antoine Fuqua,Denzel Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,s50,TV Show,Castle and Castle,,Richard Mofe-Damijo,,,,,,,, Amanda Afolabi,Nigeria,15-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,s51,TV Show,Dharmakshetra,,Kashmira Irani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Kappei Yamaguchi,,,,,,,, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Kappei Yamaguchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Kappei Yamaguchi,,,,,,,, a young half-demon who has escaped from Horai Island to try to help her people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Kappei Yamaguchi,,,,,,,, the fate of the world is in jeopardy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,s56,TV Show,Nailed It,,Nicole Byer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Junko Takeuchi,,,,,,,, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Junko Takeuchi,,,,,,,, International Movies,When strange ninjas ambush the village of Konohagakure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Junko Takeuchi,,,,,,,,2021,2009,TV-PG,96 min,Action & Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Junko Takeuchi,,,,,,,, Masako Katsuki,,,,,, Daisuke Ono, Seizo Kato|Japan|September 15, 2021|2007|TV-PG|95 min|Action & Adventure, Anime Features, International Movies|The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Junko Takeuchi,,,,,,,, Toshiyuki Morikawa,Japan,15-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Junko Takeuchi,,,,,,,, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Junko Takeuchi,,,,,,,, Hikaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Junko Takeuchi,,,,,,,, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,s65,Movie,Nightbooks,David Yarovesky,Winslow Fegley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,s66,TV Show,Numberblocks,,Beth Chalmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,,,India,15-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,s68,TV Show,Saved by the Bell,,Mark-Paul Gosselaar,,,,,,,, Screech and Lisa take on the highs and lows of life together in this hit series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,s69,Movie,Schumacher,Hanns-Bruno Kammertöns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,s70,TV Show,Stories by Rabindranath Tagore,,,India,15-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,s71,TV Show,Too Hot To Handle: Latino,,Itatí Cantoral,,15-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,s72,Movie,A StoryBots Space Adventure,David A. Vargas,Evan Spiridellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,s73,TV Show,Jack Whitehall: Travels with My Father,,Jack Whitehall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,s74,Movie,King of Boys,Kemi Adetiba,Sola Sobowale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,s75,TV Show,The World's Most Amazing Vacation Rentals,,,,14-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,s76,Movie,You vs. Wild: Out Cold,Ben Simms,Bear Grylls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,s77,TV Show,Yowamushi Pedal,,Daiki Yamashita,,,,,,,, Tetsuya Kakihara,,,,,, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama|Japan|September 14, 2021|2013|TV-14|1 Season|Anime Series, International TV Shows|A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.,,,,,,,,,,,,,,,,,,,,,,,
77,s78,Movie,Little Singham - Black Shadow,Prakash Satam,Sumriddhi Shukla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Vijay Sethupathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Vijay Sethupathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,Thomas Brodie-Sangster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,s82,Movie,Kate,Cedric Nicolas-Troyan,Mary Elizabeth Winstead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,s83,TV Show,Lucifer,,Tom Ellis,,,,,,,,2021,2021,TV-14,6 Seasons,Crime TV Shows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,s84,TV Show,Metal Shop Masters,,Jo Koy,,10-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,s85,Movie,Omo Ghetto: the Saga,JJC Skillz,,,,,,,,, Dramas,Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,s86,TV Show,Pokémon Master Journeys: The Series,,Ikue Otani,,,,,,,, they're on a journey to adventure!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,s87,Movie,Prey,Thomas Sieben,David Kross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,s88,TV Show,Titipo Titipo,,Jeon Hae-ri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Malcolm X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,s90,TV Show,Mighty Raju,,Julie Tejwani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,s91,Movie,Paradise Hills,Alice Waddington,Emma Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,s92,Movie,The Women and the Murderer,Mona Achache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,s93,TV Show,Into the Night,,Pauline Etienne,,,,,,,, TV Mysteries,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,s94,Movie,JJ+E,Alexis Almström,Elsa Öhrn,,,,,,,, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,s95,Movie,Show Dogs,Raja Gosnell,Will Arnett,,,,,,,,2021,2018,PG,90 min,Children & Family Movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,s96,TV Show,The Circle,,Michelle Buteau,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,Ronnie Van Zandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,s98,TV Show,Kid Cosmic,,Jack Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,s99,TV Show,Octonauts: Above & Beyond,,Antonio Aakeel,,,,,,,,2021,2021,TV-Y,1 Season,British TV Shows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,s100,TV Show,On the Verge,,Julie Delpy,,,,,,,, with a generous side of midlife crises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,s101,TV Show,Tobot Galaxy Detectives,,Austin Abell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,s102,Movie,Untold: Breaking Point,Chapman Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,,6-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,s104,Movie,Shadow Parties,Yemi Amodu,Jide Kosoko,,,,,,,, Magdalena Korpas,,6-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,s105,TV Show,Tayo the Little Bus,,Robyn Slade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,Antony Varghese,,,,,,,, Dramas,After growing up amidst the gang wars of his hometown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,s107,TV Show,Bunk'd,,Peyton List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,s108,Movie,A Champion Heart,David de Vos,Mandy Grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,s109,TV Show,Dive Club,,Aubri Ibrag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,s110,TV Show,La casa de papel,,Úrsula Corberó,,,,,,,,2021,2021,TV-MA,5 Seasons,Crime TV Shows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,s111,TV Show,Money Heist: From Tokyo to Berlin,Luis Alfaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,s112,TV Show,Sharkdog,,Liam Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,s113,Movie,Worth,Sara Colangelo,Michael Keaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,s114,Movie,Afterlife of the Party,Stephen Herek,Victoria Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,s115,Movie,Anjaam,Rahul Rawail,Madhuri Dixit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,s116,Movie,Bright Star,Jane Campion,Abbie Cornish,,,,,,,, Romantic Movies,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,s117,Movie,Dhanak,Nagesh Kukunoor,Krrish Chhabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,s118,Movie,Final Account,Luke Holland,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,s119,Movie,Gurgaon,Shanker Raman,Akshay Oberoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,s120,Movie,Here and There,JP Habac,Janine Gutierrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,s121,TV Show,Heroes of Goo Jit Zu,,Jon Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,s122,TV Show,Hotel Del Luna,,Lee Ji-eun,,,,,,,,2021,2019,TV-14,1 Season,International TV Shows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,s123,Movie,In the Cut,Jane Campion,Meg Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,s124,TV Show,Luv Kushh,,,,2-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,s125,TV Show,Pororo - The Little Penguin,,,South Korea,2-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,s126,TV Show,Q-Force,,Sean Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,s127,Movie,Shikara,Vidhu Vinod Chopra,Aadil Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,s128,Movie,A Cinderella Story,Mark Rosman,Hilary Duff,,,,,,,, Erica Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,Glenn Close,,,,,,,, he uncovers secrets about the tycoon's manipulative family.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,s130,Movie,An Unfinished Life,Lasse Hallström,Robert Redford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,America Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,s132,Movie,Blade Runner: The Final Cut,Ridley Scott,Harrison Ford,,,,,,,, Classic Movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,s133,TV Show,Brave Animated Series,,Tseng Yun-fan,,,,,,,, Liu Kuan-ting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,s134,Movie,Chappie,Neill Blomkamp,Sharlto Copley,,,,,,,, a lone droid evolves to the next level of artificial intelligence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,s135,Movie,Clear and Present Danger,Phillip Noyce,Harrison Ford,,,,,,,, Mexico,1-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,s136,Movie,Cliffhanger,Renny Harlin,Sylvester Stallone,,,,,,,, Japan,1-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,s137,Movie,Cold Mountain,Anthony Minghella,Jude Law,,,,,,,,2021,2003,R,154 min,Dramas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,Paul Hogan,,,,,,,, Mike Tyson,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,s139,Movie,Dear John,Lasse Hallström,Channing Tatum,,,,,,,, their handwritten letters hold the lovers together.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,s140,Movie,Do the Right Thing,Spike Lee,Danny Aiello,,,,,,,, Miguel Sandoval,United States,1-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,s141,Movie,El patrón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,s142,Movie,Extraction,Steven C. Miller,Bruce Willis,,,,,,,, embarks on an unauthorized mission to find him and halt a terrorist plot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,s143,Movie,Freedom Writers,Richard LaGravenese,Hilary Swank,,,,,,,,2021,2007,PG-13,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,s144,Movie,Green Lantern,Martin Campbell,Ryan Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,s145,Movie,House Party,Reginald Hudlin,Christopher Reid,,,,,,,,2021,1990,R,104 min,Comedies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
